SEQN,Gender,Age(year),Race,Served_army,Country_of_birth,Length_time_US,Education(adults),Marital_status,Pregnancy_status,People_in_Household,Income_poverty_num,Income_poverty,Races_simplify
130378.0,Male,43.0,Non-Hispanic Asian,No,Others,>20,College graduate,Married/Living with partner,,4.0,5.0,High,Back-Hispanic-Asian
130379.0,Male,66.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130380.0,Female,44.0,Other Hispanic,No,Others,>20,High school,Married/Living with partner,No,7.0,1.41,Low,Back-Hispanic-Asian
130381.0,Female,5.0,Other Race,,US,,,,,2.0,1.53,Low,Back-Hispanic-Asian
130382.0,Male,2.0,Non-Hispanic White,,US,,,,,4.0,3.6,Middle,White
130383.0,Female,3.0,Other Hispanic,,US,,,,,3.0,,High,Back-Hispanic-Asian
130384.0,Male,43.0,Mexican American,No,Others,15-19,9-11th grade,Never married,,2.0,0.63,Low,Back-Hispanic-Asian
130385.0,Female,65.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,2.0,5.0,High,White
130386.0,Male,34.0,Mexican American,No,US,,Some college,Married/Living with partner,,3.0,1.33,Low,Back-Hispanic-Asian
130387.0,Female,68.0,Non-Hispanic White,No,US,,College graduate,Never married,,1.0,1.32,Low,White
130388.0,Female,27.0,Non-Hispanic Black,No,US,,Some college,Married/Living with partner,No,5.0,0.81,Low,Back-Hispanic-Asian
130389.0,Male,59.0,Non-Hispanic White,No,Others,>20,College graduate,Married/Living with partner,,2.0,5.0,High,White
130390.0,Female,31.0,Non-Hispanic White,Yes,US,,High school,Married/Living with partner,No,5.0,2.16,Middle,White
130391.0,Female,33.0,Non-Hispanic White,No,US,,High school,Never married,No,3.0,0.93,Low,White
130392.0,Female,74.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,3.04,Middle,White
130393.0,Male,39.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,3.0,5.0,High,White
130394.0,Male,51.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,4.0,5.0,High,White
130395.0,Female,33.0,Other Race,No,US,,High school,Never married,No,1.0,1.1,Low,Back-Hispanic-Asian
130396.0,Female,56.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,2.0,4.82,Middle,White
130397.0,Female,67.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,2.0,4.48,Middle,White
130398.0,Male,47.0,Mexican American,No,Others,>20,High school,Married/Living with partner,,2.0,1.67,Low,Back-Hispanic-Asian
130399.0,Male,68.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130400.0,Male,26.0,Other Hispanic,No,US,,High school,Never married,,3.0,0.91,Low,Back-Hispanic-Asian
130401.0,Male,18.0,Non-Hispanic White,No,US,,,,,5.0,3.36,Middle,White
130402.0,Female,26.0,Non-Hispanic White,No,US,,College graduate,Never married,Cannot ascertain,2.0,5.0,High,White
130403.0,Female,12.0,Other Hispanic,,US,,,,,3.0,5.0,High,Back-Hispanic-Asian
130404.0,Female,73.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,,1.0,4.42,Middle,White
130405.0,Female,3.0,Non-Hispanic Black,,US,,,,,3.0,1.3,Low,Back-Hispanic-Asian
130406.0,Female,26.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,No,3.0,3.22,Middle,White
130407.0,Female,73.0,Non-Hispanic White,No,US,,College graduate,Widowed/Divorced/Separated,,2.0,4.37,Middle,White
130408.0,Male,80.0,Non-Hispanic Black,No,US,,9-11th grade,Dont Know,,5.0,1.02,Low,Back-Hispanic-Asian
130409.0,Male,68.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,2.0,3.14,Middle,White
130410.0,Female,77.0,Non-Hispanic White,No,US,,< 9th grade,Widowed/Divorced/Separated,,2.0,3.62,Middle,White
130411.0,Male,4.0,Non-Hispanic White,,US,,,,,4.0,2.16,Middle,White
130412.0,Male,7.0,Non-Hispanic Black,,US,,,,,6.0,0.63,Low,Back-Hispanic-Asian
130413.0,Female,67.0,Other Hispanic,No,Others,>20,9-11th grade,Married/Living with partner,,3.0,0.05,Low,Back-Hispanic-Asian
130414.0,Male,16.0,Mexican American,,US,,,,,4.0,0.02,Low,Back-Hispanic-Asian
130415.0,Female,61.0,Non-Hispanic Black,No,US,,High school,Married/Living with partner,,2.0,0.11,Low,Back-Hispanic-Asian
130416.0,Female,59.0,Other Hispanic,No,Others,>20,High school,Widowed/Divorced/Separated,,2.0,,High,Back-Hispanic-Asian
130417.0,Female,58.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,2.0,5.0,High,White
130418.0,Male,53.0,Non-Hispanic White,Yes,US,,High school,Married/Living with partner,,6.0,0.2,Low,White
130419.0,Female,18.0,Non-Hispanic Asian,No,Others,10-14,,,,5.0,2.64,Middle,Back-Hispanic-Asian
130420.0,Male,18.0,Non-Hispanic White,No,US,,,,,3.0,1.02,Low,White
130421.0,Female,13.0,Other Hispanic,,US,,,,,5.0,2.09,Middle,Back-Hispanic-Asian
130422.0,Male,66.0,Non-Hispanic White,Yes,US,,Some college,Married/Living with partner,,2.0,3.82,Middle,White
130423.0,Male,15.0,Other Hispanic,,US,,,,,7.0,1.99,Low,Back-Hispanic-Asian
130424.0,Female,19.0,Non-Hispanic White,No,US,,,,,3.0,,High,White
130425.0,Female,68.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,1.0,1.91,Low,White
130426.0,Male,67.0,Mexican American,No,US,,< 9th grade,Widowed/Divorced/Separated,,1.0,0.88,Low,Back-Hispanic-Asian
130427.0,Male,80.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,2.46,Middle,White
130428.0,Female,2.0,Non-Hispanic Black,,US,,,,,5.0,,High,Back-Hispanic-Asian
130429.0,Male,14.0,Non-Hispanic White,,US,,,,,4.0,3.42,Middle,White
130430.0,Female,27.0,Non-Hispanic White,No,US,,College graduate,Never married,No,5.0,3.43,Middle,White
130431.0,Female,80.0,Mexican American,No,Others,Dont Know,< 9th grade,Married/Living with partner,,7.0,1.19,Low,Back-Hispanic-Asian
130432.0,Male,11.0,Other Race,,Others,5-9,,,,7.0,1.14,Low,Back-Hispanic-Asian
130433.0,Female,14.0,Non-Hispanic White,,US,,,,,4.0,5.0,High,White
130434.0,Male,54.0,Other Race,No,US,,High school,Never married,,1.0,0.67,Low,Back-Hispanic-Asian
130435.0,Male,17.0,Other Race,No,US,,,,,5.0,5.0,High,Back-Hispanic-Asian
130436.0,Male,50.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,,2.0,5.0,High,White
130437.0,Female,43.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,No,3.0,1.09,Low,White
130438.0,Male,63.0,Other Hispanic,No,US,,High school,Married/Living with partner,,2.0,5.0,High,Back-Hispanic-Asian
130439.0,Male,42.0,Non-Hispanic White,No,US,,9-11th grade,Never married,,1.0,1.03,Low,White
130440.0,Female,19.0,Non-Hispanic White,No,US,,,,,6.0,4.22,Middle,White
130441.0,Female,33.0,Non-Hispanic Asian,No,Others,10-14,College graduate,Married/Living with partner,No,4.0,5.0,High,Back-Hispanic-Asian
130442.0,Male,43.0,Non-Hispanic White,No,US,,College graduate,Never married,,1.0,5.0,High,White
130443.0,Male,41.0,Non-Hispanic White,No,US,,< 9th grade,Married/Living with partner,,7.0,0.65,Low,White
130444.0,Female,77.0,Non-Hispanic White,No,US,,High school,Widowed/Divorced/Separated,,1.0,4.36,Middle,White
130445.0,Female,38.0,Mexican American,No,Others,1-4,College graduate,Never married,Cannot ascertain,2.0,5.0,High,Back-Hispanic-Asian
130446.0,Male,57.0,Non-Hispanic Black,No,US,,Some college,Never married,,1.0,,High,Back-Hispanic-Asian
130447.0,Male,14.0,Non-Hispanic Black,,US,,,,,3.0,5.0,High,Back-Hispanic-Asian
130448.0,Female,13.0,Mexican American,,US,,,,,3.0,1.81,Low,Back-Hispanic-Asian
130449.0,Female,26.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,No,3.0,3.47,Middle,White
130450.0,Male,54.0,Non-Hispanic White,No,US,,9-11th grade,Widowed/Divorced/Separated,,6.0,1.65,Low,White
130451.0,Female,6.0,Non-Hispanic White,,US,,,,,5.0,0.53,Low,White
130452.0,Male,30.0,Other Hispanic,No,Others,10-14,High school,Never married,,1.0,,High,Back-Hispanic-Asian
130453.0,Male,70.0,Non-Hispanic White,No,US,,High school,Married/Living with partner,,2.0,3.82,Middle,White
130454.0,Male,12.0,Mexican American,,US,,,,,5.0,1.15,Low,Back-Hispanic-Asian
130455.0,Male,2.0,Other Hispanic,,US,,,,,5.0,,High,Back-Hispanic-Asian
130456.0,Female,24.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,No,2.0,2.33,Middle,White
130457.0,Female,38.0,Non-Hispanic White,No,US,,College graduate,Never married,No,1.0,5.0,High,White
130458.0,Female,6.0,Non-Hispanic Asian,,US,,,,,7.0,4.46,Middle,Back-Hispanic-Asian
130459.0,Female,41.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,Cannot ascertain,1.0,0.44,Low,White
130460.0,Male,15.0,Non-Hispanic White,,US,,,,,5.0,5.0,High,White
130461.0,Female,71.0,Non-Hispanic White,No,US,,College graduate,Widowed/Divorced/Separated,,2.0,5.0,High,White
130462.0,Male,27.0,Non-Hispanic White,No,US,,High school,Widowed/Divorced/Separated,,4.0,1.12,Low,White
130463.0,Male,7.0,Other Race,,US,,,,,5.0,1.99,Low,Back-Hispanic-Asian
130464.0,Female,72.0,Non-Hispanic White,No,US,,High school,Widowed/Divorced/Separated,,7.0,0.48,Low,White
130465.0,Male,77.0,Non-Hispanic Black,No,US,,College graduate,Never married,,1.0,5.0,High,Back-Hispanic-Asian
130466.0,Male,69.0,Non-Hispanic Asian,No,Others,>20,High school,Widowed/Divorced/Separated,,7.0,,High,Back-Hispanic-Asian
130467.0,Male,53.0,Other Hispanic,No,Others,>20,Some college,Married/Living with partner,,6.0,1.08,Low,Back-Hispanic-Asian
130468.0,Female,28.0,Non-Hispanic White,No,US,,College graduate,Married/Living with partner,Cannot ascertain,4.0,5.0,High,White
130469.0,Female,26.0,Non-Hispanic White,No,US,,High school,Never married,Cannot ascertain,5.0,1.14,Low,White
130470.0,Female,64.0,Non-Hispanic White,No,US,,Some college,Widowed/Divorced/Separated,,5.0,,High,White
130471.0,Male,10.0,Non-Hispanic White,,US,,,,,4.0,2.92,Middle,White
130472.0,Male,11.0,Non-Hispanic Black,,US,,,,,5.0,0.86,Low,Back-Hispanic-Asian
130473.0,Female,26.0,Other Race,No,Others,1-4,College graduate,Married/Living with partner,No,2.0,5.0,High,Back-Hispanic-Asian
130474.0,Female,55.0,Non-Hispanic White,No,US,,Some college,Married/Living with partner,,3.0,5.0,High,White
