Data File Name,Doc File,Data File,Date Published
alpha-1-Acid Glycoprotein,AGP_L Doc,AGP_L Data [XPT - 61.3 KB],September 2024
Cholesterol – High-Density Lipoprotein,HDL_L Doc,HDL_L Data [XPT - 253.4 KB],September 2024
Cholesterol - Total,TCHOL_L Doc,TCHOL_L Data [XPT - 253.4 KB],September 2024
Complete Blood Count with 5-Part Differential in Whole Blood,CBC_L Doc,CBC_L Data [XPT - 1.5 MB],September 2024
Fasting Questionnaire,FASTQX_L Doc,FASTQX_L Data [XPT - 1.3 MB],September 2024
Ferritin,FERTIN_L Doc,FERTIN_L Data [XPT - 81.4 KB],September 2024
Folate - RBC,FOLATE_L Doc,FOLATE_L Data [XPT - 274 KB],September 2024
Glycohemoglobin,GHB_L Doc,GHB_L Data [XPT - 169.9 KB],September 2024
Hepatitis A,HEPA_L Doc,HEPA_L Data [XPT - 203 KB],September 2024
Hepatitis B Surface Antibody,HEPB_S_L Doc,HEPB_S_L Data [XPT - 203 KB],September 2024
High-Sensitivity C-Reactive Protein,HSCRP_L Doc,HSCRP_L Data [XPT - 274 KB],September 2024
Insulin,INS_L Doc,INS_L Data [XPT - 157.5 KB],September 2024
"Lead, Cadmium, Total Mercury, Selenium, & Manganese – Blood",PBCD_L Doc,PBCD_L Data [XPT - 1.1 MB],September 2024
"Mercury:  Inorganic, Ethyl, and Methyl - Blood",IHGEM_L Doc,IHGEM_L Data [XPT - 752.3 KB],September 2024
Plasma Fasting Glucose,GLU_L Doc,GLU_L Data [XPT - 126.2 KB],September 2024
Serum Folate Forms - Total & Individual - Serum,FOLFMS_L Doc,FOLFMS_L Data [XPT - 1.1 MB],September 2024
Sex Steroid Hormone Panel - Serum,TST_L Doc,TST_L Data [XPT - 2.3 MB],October 2024
Transferrin Receptor,TFR_L Doc,TFR_L Data [XPT - 81.4 KB],September 2024
Urine Pregnancy Test,UCPREG_L Doc,UCPREG_L Data [XPT - 18.8 KB],September 2024
Vitamin D,VID_L Doc,VID_L Data [XPT - 683.9 KB],September 2024
