Variable Name,SAS Label,English Text,Target,English Instructions,Hard Edits
SEQN,Respondent sequence number,Respondent sequence number.,Females only 12 YEARS - 49 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Females only 12 YEARS - 49 YEARS,,
LBXAGP,alpha-1-acid glycoprotein (g/L),alpha-1-acid glycoprotein (g/L),Females only 12 YEARS - 49 YEARS,,
SEQN,Respondent Sequence Number,Respondent Sequence Number,Both males and females 6 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 6 YEARS - 150 YEARS,,
LBDHDD,Direct HDL-Cholesterol (mg/dL),Direct HDL-Cholesterol (mg/dL),Both males and females 6 YEARS - 150 YEARS,,
LBDHDDSI,Direct HDL-Cholesterol (mmol/L),Direct HDL-Cholesterol (mmol/L),Both males and females 6 YEARS - 150 YEARS,,
SEQN,Respondent Sequence Number,Respondent Sequence Number,Both males and females 6 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 6 YEARS - 150 YEARS,,
LBXTC,Total Cholesterol (mg/dL),Total Cholesterol (mg/dL),Both males and females 6 YEARS - 150 YEARS,,
LBDTCSI,Total Cholesterol (mmol/L),Total Cholesterol (mmol/L),Both males and females 6 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,
LBXWBCSI,White blood cell count (1000 cells/uL),White blood cell count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBXLYPCT,Lymphocyte percent (%),Lymphocyte percent (%),Both males and females 1 YEARS - 150 YEARS,,
LBXMOPCT,Monocyte percent (%),Monocyte percent (%),Both males and females 1 YEARS - 150 YEARS,,
LBXNEPCT,Segmented neutrophils percent (%),Segmented neutrophils percent (%),Both males and females 1 YEARS - 150 YEARS,,
LBXEOPCT,Eosinophils percent (%),Eosinophils percent (%),Both males and females 1 YEARS - 150 YEARS,,
LBXBAPCT,Basophils percent (%),Basophils percent (%),Both males and females 1 YEARS - 150 YEARS,,
LBDLYMNO,Lymphocyte number (1000 cells/uL),Lymphocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBDMONO,Monocyte number (1000 cells/uL),Monocyte number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBDNENO,Segmented neutrophils num (1000 cell/uL),Segmented neutrophils number (1000 cell/uL),Both males and females 1 YEARS - 150 YEARS,,
LBDEONO,Eosinophils number (1000 cells/uL),Eosinophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBDBANO,Basophils number (1000 cells/uL),Basophils number (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBXRBCSI,Red blood cell count (million cells/uL),Red blood cell count (million cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBXHGB,Hemoglobin (g/dL),Hemoglobin (g/dL),Both males and females 1 YEARS - 150 YEARS,,
LBXHCT,Hematocrit (%),Hematocrit (%),Both males and females 1 YEARS - 150 YEARS,,
LBXMCVSI,Mean cell volume (fL),Mean cell volume (fL),Both males and females 1 YEARS - 150 YEARS,,
LBXMC,Mean Cell Hgb Conc. (g/dL),Mean cell hemoglobin concentration (g/dL),Both males and females 1 YEARS - 150 YEARS,,
LBXMCHSI,Mean cell hemoglobin (pg),Mean cell hemoglobin (pg),Both males and females 1 YEARS - 150 YEARS,,
LBXRDW,Red cell distribution width (%),Red cell distribution width (%),Both males and females 1 YEARS - 150 YEARS,,
LBXPLTSI,Platelet count (1000 cells/uL),Platelet count (1000 cells/uL),Both males and females 1 YEARS - 150 YEARS,,
LBXMPSI,Mean platelet volume (fL),Mean platelet volume (fL),Both males and females 1 YEARS - 150 YEARS,,
LBXNRBC,Nucleated red blood cells,Nucleated red blood cells,Both males and females 1 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Both males and females 1 YEARS - 150 YEARS,,
PHQ020,Coffee or tea with cream or sugar?,Coffee or tea with cream or sugar?  [Include milk or non-dairy creamers.],Both males and females 1 YEARS - 150 YEARS,"Have you had any of the following since "" today at"" or ""yesterday at"" fasting time in PHQ010.",
PHACOFHR,Coffee/tea fast time (hours),The time (in hours) since the examinee last drank coffee or tea with cream or sugar.,Both males and females 1 YEARS - 150 YEARS,,
PHACOFMN,Coffee/tea fast time (minutes),The time (in minutes) since the examinee last drank coffee or tea with cream or sugar.,Both males and females 1 YEARS - 150 YEARS,,
PHQ030,"Alcohol, such as beer, wine, or liquor?","Alcohol, such as beer, wine, or liquor?",Both males and females 1 YEARS - 150 YEARS,"Have you had any of the following since ""today at"" or ""yesterday at"" the fasting time in PHQ010.",
PHAALCHR,Alcohol fast time (hours),"The time (in hours) the examinee last drank alcohol suchs as beer, wine, or liquor.",Both males and females 1 YEARS - 150 YEARS,,
PHAALCMN,Alcohol fast time (minutes),"The time (in minutes) the examinee last drank alcohol such as beer, wine, or liquor.",Both males and females 1 YEARS - 150 YEARS,,
PHQ040,"Gum, mints, lozenges or cough drops","Gum, breath mints, lozenges or cough drops, or other cough or cold remedies?",Both males and females 1 YEARS - 150 YEARS,"Have you had any of the following since ""today at"" or ""yesterday at"" the fasting time in PHQ010?",
PHAGUMHR,"Gum, mints cough drops fast time (hours)","The time (in hours) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",Both males and females 1 YEARS - 150 YEARS,,
PHAGUMMN,"Gum, mints, cough fast time (minutes)","The time (in minutes) the examinee last had gum, breath mints, lozenges or cough drops, or other cough or cold remedies.",Both males and females 1 YEARS - 150 YEARS,,
PHQ050,"Antacids, laxatives, or anti-diarrheals?","Antacids, laxatives, or anti-diarrheals?",Both males and females 1 YEARS - 150 YEARS,"Have you had any of the following since ""today at"" or ""yesterday at"" the fasting time in PHQ010.",
PHAANTHR,"Antacids, laxatives fast time (hours)","The time (in hours) the examinee last had antacids, laxatives or anti-diarrheals.",Both males and females 1 YEARS - 150 YEARS,,
PHAANTMN,"Antacids, laxatives fast time (minutes)","The time (in minutes) the examinee last had antacids, laxatives or anti-diarrheals.",Both males and females 1 YEARS - 150 YEARS,,
PHQ060,Dietary supplements?,Dietary supplements such as vitamins and minerals? [Include multivitamins and single nutrient supplements.],Both males and females 1 YEARS - 150 YEARS,"Have you had any of the following since ""today at"" or ""yesterday at"" the fasting time in PHQ010.",
PHASUPHR,Dietary supplements fast time (hours),The time (in hours) the examinee last had dietary supplements such as vitamins and minerals.,Both males and females 1 YEARS - 150 YEARS,,
PHASUPMN,Dietary supplements fast time (minutes),The time (in minutes) the examinee last had dietary supplements such as vitamins and minerals.,Both males and females 1 YEARS - 150 YEARS,,
PHAFSTHR,Total length of 'food fast' (hours),The time (in hours) between when the examinee last ate or drank anything other than water and the time of the venipuncture.,Both males and females 1 YEARS - 150 YEARS,,
PHAFSTMN,Total length of 'food fast' (minutes),The time (in minutes) between when the examinee last ate or drank anything other than water and the time of the venipuncture.,Both males and females 1 YEARS - 150 YEARS,,
PHDSESNZ,Session in which SP was examined,Session in which SP was examined,Both males and females 1 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Females only 12 YEARS - 49 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Females only 12 YEARS - 49 YEARS,,
LBXFER,Ferritin(ng/mL),Ferritin(ng/mL),Females only 12 YEARS - 49 YEARS,,
LBDFERSI,Ferritin(µg/L),Ferritin(µg/L),Females only 12 YEARS - 49 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number,Both males and females 1 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,
LBDRFO,RBC folate (ng/mL),RBC folate (ng/mL),Both males and females 1 YEARS - 150 YEARS,,
LBDRFOSI,RBC folate (nmol/L),RBC folate (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
SEQN,Sequence number,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 12 YEARS - 150 YEARS,,
LBXGH,Glycohemoglobin (%),Glycohemoglobin (%),Both males and females 12 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number,Both males and females 2 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 2 YEARS - 150 YEARS,,
LBXHA,Hepatitis A antibody,Hepatitis A antibody,Both males and females 2 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number,Both males and females 2 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 2 YEARS - 150 YEARS,,
LBXHBS,Hepatitis B Surface Antibody,Hepatitis B Surface Antibody,Both males and females 2 YEARS - 150 YEARS,,
SEQN,Respondent Sequence Number,Respondent Sequence Number,Both males and females 1 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,
LBXHSCRP,HS C-Reactive Protein (mg/L),High-Sensitivity C-Reactive Protein (hs-CRP) (mg/L),Both males and females 1 YEARS - 150 YEARS,,
LBDHRPLC,HS C-Reactive Protein Comment Code,High-Sensitivity C-Reactive Protein (hs-CRP) Comment Code,Both males and females 1 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number.,Both males and females 12 YEARS - 150 YEARS,,
WTSAF2YR,Fasting Subsample 2 Year MEC Weight,Fasting Subsample 2 Year MEC Weight,Both males and females 12 YEARS - 150 YEARS,,
LBXIN,Insulin (uU/mL),Insulin (uU/mL),Both males and females 12 YEARS - 150 YEARS,,0 to 9999.99
LBDINSI,Insulin (pmol/L),Insulin (pmol/L),Both males and females 12 YEARS - 150 YEARS,,
LBDINLC,Insulin Comment Code,Insulin Comment Code,Both males and females 12 YEARS - 150 YEARS,,
SEQN,Respondent sequence number,Respondent sequence number,Both males and females 1 YEARS - 150 YEARS,,
WTPH2YR,Phlebotomy 2 Year Weight,Phlebotomy 2 Year Weight,Both males and females 1 YEARS - 150 YEARS,,
LBXBPB,Blood lead (ug/dL),Blood lead (ug/dL),Both males and females 1 YEARS - 150 YEARS,,
LBDBPBSI,Blood lead (umol/L),Blood lead (umol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBPBLC,Blood lead comment code,Blood lead comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXBCD,Blood cadmium (ug/L),Blood cadmium (ug/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBCDSI,Blood cadmium (nmol/L),Blood cadmium (nmol/L),Both males and females 1 YEARS - 150 YEARS,,
LBDBCDLC,Blood cadmium comment code,Blood cadmium comment code,Both males and females 1 YEARS - 150 YEARS,,
LBXTHG,"Blood mercury, total (ug/L)","Blood mercury, total (ug/L)",Both males and females 1 YEARS - 150 YEARS,,
