iter	Passed	Remaining
0	2	1404
1	5	1319
2	7	1287
3	10	1265
4	12	1263
5	15	1260
6	17	1242
7	20	1269
8	22	1254
9	25	1234
10	27	1221
11	29	1214
12	32	1203
13	34	1209
14	37	1203
15	39	1194
16	41	1184
17	43	1174
18	46	1174
19	49	1177
20	51	1182
21	55	1196
22	56	1177
23	60	1191
24	62	1188
25	65	1194
26	68	1193
27	70	1188
28	72	1184
29	75	1180
30	77	1179
31	80	1184
32	83	1178
33	85	1174
34	88	1173
35	92	1197
36	96	1203
37	100	1222
38	103	1228
39	108	1242
40	110	1242
41	113	1238
42	116	1234
43	118	1231
44	122	1234
45	124	1230
46	127	1228
47	130	1224
48	132	1223
49	136	1224
50	138	1223
51	141	1222
52	145	1226
53	148	1226
54	151	1225
55	154	1224
56	157	1224
57	160	1219
58	162	1214
59	164	1209
60	167	1207
61	170	1205
62	173	1206
63	177	1206
64	179	1203
65	182	1202
66	185	1199
67	189	1201
68	191	1197
69	194	1193
70	197	1191
71	199	1188
72	202	1183
73	204	1178
74	206	1172
75	209	1167
76	211	1163
77	214	1160
78	217	1156
79	219	1153
80	222	1150
81	224	1146
82	227	1144
83	230	1142
84	233	1139
85	235	1135
86	239	1134
87	241	1129
88	243	1124
89	245	1118
90	248	1114
91	250	1108
92	252	1103
93	254	1097
94	256	1091
95	259	1090
96	261	1087
97	264	1083
98	266	1080
99	269	1076
100	271	1071
101	273	1069
102	276	1065
103	279	1063
104	281	1060
105	284	1057
106	286	1053
107	289	1050
108	291	1047
109	294	1044
110	296	1040
111	299	1037
112	302	1034
113	305	1033
114	308	1031
115	310	1028
116	313	1025
117	316	1023
118	318	1020
119	321	1018
120	324	1017
121	327	1014
122	330	1012
123	333	1010
124	335	1006
125	337	1002
126	340	998
127	343	996
128	345	994
129	348	992
130	351	989
131	353	985
132	355	981
133	358	977
134	360	974
135	363	971
136	365	969
137	368	966
138	371	963
139	373	961
140	376	958
141	379	956
142	381	953
143	384	950
144	386	947
145	389	944
146	392	942
147	396	942
148	398	939
149	400	935
150	403	932
151	405	929
152	408	926
153	410	923
154	413	919
155	415	916
156	417	912
157	419	908
158	422	905
159	424	901
160	426	898
161	428	894
162	430	890
163	433	887
164	435	883
165	437	880
166	440	877
167	442	874
168	444	871
