iter	RMSE
0	1.855092056
1	1.723597468
2	1.607971163
3	1.50309408
4	1.408200472
5	1.324913687
6	1.24994389
7	1.185112716
8	1.124452826
9	1.069968548
10	1.022605191
11	0.978017958
12	0.9411026667
13	0.9041327694
14	0.8709973403
15	0.8440968338
16	0.818205939
17	0.7960737475
18	0.7761152971
19	0.7579081196
20	0.742413369
21	0.7263071635
22	0.7155793604
23	0.7051385784
24	0.6912881287
25	0.6809543884
26	0.6712047316
27	0.6627520494
28	0.6548544955
29	0.6474745192
30	0.6382837723
31	0.6323029068
32	0.6247007085
33	0.6182848187
34	0.6127155229
35	0.606077693
36	0.6004472115
37	0.5950324242
38	0.5883614009
39	0.5847652931
40	0.5788393787
41	0.5741006209
42	0.5701617836
43	0.5656137587
44	0.5627164394
45	0.5570255914
46	0.554023825
47	0.550106445
48	0.5461458498
49	0.5423315029
50	0.537467832
51	0.5331743122
52	0.5290759819
53	0.5269157387
54	0.5233628117
55	0.5212819506
56	0.5176455724
57	0.5142971174
58	0.5117970179
59	0.50887157
60	0.5064065079
61	0.5032220043
62	0.5014963212
63	0.4996001673
64	0.4971413208
65	0.4944595689
66	0.4924312802
67	0.4906558844
68	0.4883688312
69	0.4862095284
70	0.4842662389
71	0.4820000107
72	0.479516309
73	0.4772960581
74	0.4748360995
75	0.472545308
76	0.4710910756
77	0.4681777277
78	0.4653801398
79	0.4643857841
80	0.4620599619
81	0.4600671216
82	0.4575789531
83	0.455382173
84	0.4528472974
85	0.4517378622
86	0.4497606712
87	0.4463742345
88	0.4447790459
89	0.4414744677
90	0.4398011105
91	0.4374447606
92	0.4346570047
93	0.4327345613
94	0.4308209195
95	0.4290326547
96	0.4266623275
97	0.4250401618
98	0.423206808
99	0.4219163658
100	0.4208741998
101	0.4188491193
102	0.4170815124
103	0.4156855356
104	0.41433397
105	0.4129011055
106	0.4115356757
107	0.4086278792
108	0.4060425521
109	0.4044828799
110	0.4033816892
111	0.4021441795
112	0.4008572795
113	0.3993063303
114	0.3979242437
115	0.3960802976
116	0.3948952902
117	0.3934437967
118	0.3913158872
119	0.3898596518
120	0.3881561606
121	0.3868133373
122	0.3851496292
123	0.3836593613
124	0.3822054758
125	0.3803815414
126	0.3792670258
127	0.3780111693
128	0.3769291187
129	0.375668705
130	0.3742868707
131	0.3730584541
132	0.3716065163
133	0.3703919017
134	0.3690565732
135	0.3676409339
136	0.3663165228
137	0.3653534943
138	0.3635730118
139	0.3626095532
140	0.3612799066
141	0.3598007423
142	0.3585782158
143	0.3575698747
144	0.3563201417
145	0.3552138298
146	0.3542202044
147	0.3530361842
148	0.3520670633
149	0.351380081
150	0.3506440112
151	0.3494167154
152	0.3483680893
153	0.3472890814
154	0.3463185519
155	0.3452806453
156	0.3434509985
157	0.3422101859
158	0.3412872765
159	0.339799689
160	0.338959136
161	0.3381787614
162	0.3373012503
163	0.3359238359
164	0.3346177414
165	0.3336046378
166	0.3319949954
167	0.3312268257
168	0.3302777798
169	0.328403503
170	0.327480264
171	0.3264198653
172	0.3257034159
173	0.3240777329
174	0.3231377113
175	0.3217648166
176	0.3202730975
177	0.3193801219
178	0.3183515847
179	0.3168411931
180	0.3156652724
181	0.3148177755
182	0.3139566896
183	0.3126136264
184	0.3116467974
185	0.3105766082
186	0.3096101058
187	0.3089171584
188	0.3081566091
189	0.3075390611
190	0.3065120164
191	0.3055183676
192	0.30483821
193	0.3040760192
194	0.3029207678
195	0.3023357481
196	0.3010362614
197	0.3003573463
198	0.2995934674
199	0.2988860539
200	0.2979646991
201	0.2967357109
202	0.2956563038
203	0.2950326842
204	0.2941560476
205	0.2936294131
206	0.2924277832
207	0.2918302328
208	0.2911253691
209	0.2905817033
210	0.2890592089
211	0.2882739083
212	0.2872647634
213	0.2865376515
214	0.285728063
215	0.2852630334
216	0.2836558912
217	0.2831909805
218	0.2822261363
219	0.2816451611
220	0.28129583
221	0.2802726934
222	0.2796437179
223	0.2787813899
224	0.2782563377
225	0.2776776363
226	0.2770711593
227	0.2765695366
228	0.2759548771
229	0.2750043588
230	0.2743586768
231	0.2735120853
232	0.2726170654
233	0.2720964286
234	0.271477025
235	0.2704067666
236	0.2694775223
237	0.268795286
238	0.2680476899
239	0.266858234
240	0.2663973366
241	0.2652571218
242	0.2641522615
243	0.2637797068
244	0.2631746446
245	0.2625376401
246	0.2614659031
247	0.2607421228
248	0.2602173815
249	0.25940634
250	0.2585800661
251	0.2581434317
252	0.2577309155
253	0.257406882
254	0.2570642007
255	0.2564497324
256	0.2557871706
257	0.2551325651
258	0.254730386
259	0.253720815
260	0.2532524874
261	0.2524154115
262	0.2513998343
263	0.2506329592
264	0.24984673
265	0.2492954434
266	0.2486998251
267	0.2475112412
268	0.2469399556
269	0.2465694231
270	0.2459575469
271	0.2449572565
272	0.2443853908
273	0.2440175377
274	0.2436673971
275	0.2430820663
276	0.2421548947
277	0.241537909
278	0.2406189021
279	0.2400679047
280	0.239737061
281	0.2393185566
282	0.2386943559
283	0.2381895031
284	0.2379168325
285	0.2376750023
286	0.2369350994
287	0.2363231664
288	0.2356016491
289	0.235016693
290	0.234487738
291	0.2337246483
292	0.2332094349
293	0.2329237799
294	0.2324357196
295	0.2320123785
296	0.2315761865
297	0.2310693823
298	0.230632961
299	0.2299136201
