iter	Passed	Remaining
0	206	205983
1	278	138832
2	368	122317
3	410	102329
4	486	96883
5	575	95422
6	629	89273
7	681	84496
8	767	84487
9	801	79386
10	880	79195
11	916	75464
12	944	71742
13	1002	70587
14	1083	71146
15	1113	68500
16	1152	66666
17	1183	64575
18	1225	63252
19	1254	61420	20	1326	61821	21	1450	64496
22	1526	64831
23	1564	63641
24	1623	63300
25	1665	62408
26	1720	61985
27	1757	61024
28	1816	60819
29	1914	61896
30	1975	61756
31	2100	63550
32	2157	63233
33	2200	62532
34	2261	62360
35	2309	61855
36	2462	64088
37	2502	63354
38	2540	62602
39	2691	64587
40	2819	65953
41	2881	65715
42	2956	65792
43	3024	65719
44	3077	65302
45	3095	64191
46	3158	64039
47	3230	64080
48	3258	63246
49	3294	62599
50	3359	62521
51	3456	63013
52	3504	62615
53	3582	62763
54	3673	63120
55	3723	62775
56	3780	62538
57	3829	62189
58	3893	62103
59	3974	62260
60	4063	62549
61	4150	62795
62	4209	62611
63	4290	62751
64	4346	62521
65	4442	62864
66	4510	62814
67	4598	63032
68	4670	63015
69	4768	63351
70	4794	62736
71	4844	62434
72	4904	62275
73	4961	62083
74	5000	61670
75	5061	61540
76	5131	61509
77	5188	61326
78	5223	60892
79	5303	60990
80	5331	60489
81	5349	59882
82	5406	59733
83	5448	59410
84	5481	59009
85	5551	59000
86	5616	58943
87	5682	58894
88	5781	59179
89	5826	58911
90	5890	58843
91	5953	58763
92	6017	58689
93	6061	58426
94	6117	58280
95	6223	58605
96	6271	58379
97	6323	58197
98	6363	57913
99	6431	57883
100	6476	57645
101	6517	57380
102	6597	57457
103	6644	57245
104	6694	57059
105	6755	56973
106	6800	56757
107	6864	56695
108	6953	56841
109	7027	56858
110	7085	56749
111	7141	56618
112	7181	56367
113	7242	56286
114	7275	559115115	7330	558116116	7391	557117117	7438	556118118	7496	55502
119	7548	553120120	7619	553121	7725	55598
122	7799	55611
123	7850	55458
124124	7836	548125125	7963	55237
126	8034	55230
127	8057	54894
128	8137	54942
129	8227	55062
130	8307	55107
131	8382	55121
132	8428	54943
133	8514	55028
134	8568	54900
135	8616	54741
136	8661	54558
137	8702	54358
138	8751	54208
139	8790	539140140	8882	54116
141	8931	53965
142	9011	54004
143	9082	53987
144	9157	53997
145	9214	53898
146	9287	53891
147	9319	53650
148	9385	53606
149	9459	53602
150	9497	53397
151	9603	53577
152	9639	53361
153	9690	53235
154	9766	53240
155	9807	53063
156	9861	52948
157	9936	52951
158	9983	52808
159	10062	52828
160	10124	52758
161	10215	52843
162	10293	52857
163	10320	52606
164	10352	52389
165	10424	52374
166	10501	52380
167	10571	52355
168	10649	52363
169	10701	52249
170	10818	52448
171	10858	52274
172	10910	52157
173	10969	52075
174	11011	51912
175	11098	51959
176	11146	51828
177	11208	51760
178	11403	52302
